Name	Group	SubGroup	Rank	Type	Macrotaxonomy	ShipCap	MoveSpeed	Metal	Crystal	BuildTime	Energy	AmmoType	Damage	Number	Reload	Range	Hull	Armor	Health	Engine	BonusType	Ability	Immunities	Memo	lol
Human Cryogenic Pod	Human Cryogenic Pod	Human Cryogenic Pod	1		Home Planet Ships			"50,000"	"50,000"	02:00	0						Command-Grade	"2,000"	"200,000"			資源生産(400エネルギー)　破壊時にAIプログレス増加(+1)	Dark Matter弾　Blade攻撃　Fusion Cutter攻撃　範囲攻撃　攻撃強化　防御強化　磨耗　トラクタービーム　鹵獲　処分　麻痺攻撃　格納　丸呑み　フォースフィールド　即死　EMP		lol
Engineer Drone	Engineer Drone	Engineer Drone	1		Economic Ships	39	220	"2,400"	"1,200"	00:15	0						Neutron	500	"80,000"	"3,000"		自己修復(3:00)　敵の探知不可　修理機能(2)　製造支援(1)　敵惑星では4倍のダメージを受ける	Dark Matter弾　Minor Electric弾　鹵獲　フォースフィールド　機雷		lol
Engineer Drone Mark II	Engineer Drone	Engineer Drone	2		Economic Ships	58	220	"2,000"	"1,000"	00:12	0						Neutron	"1,000"	"280,000"			自己修復(3:00)　敵の探知不可　修理機能(9)　製造支援(2)　敵惑星では4倍のダメージを受ける	Dark Matter弾　Minor Electric弾　磨耗　鹵獲　フォースフィールド　機雷		lol
Engineer Drone Mark III	Engineer Drone	Engineer Drone	3		Economic Ships	78	200	"3,000"	"1,500"	00:10	0						Neutron	0	"640,000"			クローク機能　テレポート機能　自己修復(3:00)　敵の探知不可　修理機能(12)　製造支援(3)　敵惑星では4倍のダメージを受ける	Dark Matter弾　Minor Electric弾　磨耗　鹵獲　フォースフィールド　機雷		lol
Metal Harvester	Metal Harvester	Metal Harvester	1		Economic Ships			0	"1,600"	02:31	0						Structural	"3,000"	"40,000"			サプライが必要　資源生産(20メタル/sec)	Dark Matter弾　Minor Electric弾　磨耗　鹵獲　格納　丸呑み　フォースフィールド		lol
Metal Harvester Mark II	Metal Harvester	Metal Harvester	2		Economic Ships			0	"1,600"	01:16	0						Structural	"3,000"	"40,000"			サプライが必要　資源生産(30メタル/sec)	Dark Matter弾　Minor Electric弾　磨耗　鹵獲　格納　丸呑み　フォースフィールド		lol
Metal Harvester Mark III	Metal Harvester	Metal Harvester	3		Economic Ships			0	"1,600"	00:37	0						Structural	"3,000"	"40,000"			サプライが必要　資源生産(55メタル/sec)	Dark Matter弾　Minor Electric弾　磨耗　鹵獲　格納　丸呑み　フォースフィールド		lol
Crystal Harvester	Crystal Harvester	Crystal Harvester	1		Economic Ships			"1,600"	0	02:31	0						Structural	"3,000"	"40,000"			サプライが必要　資源生産(20クリスタル/sec)	Dark Matter弾　Minor Electric弾　磨耗　鹵獲　格納　丸呑み　フォースフィールド		lol
Crystal Harvester Mark II	Crystal Harvester	Crystal Harvester	2		Economic Ships			"1,600"	0	01:16	0						Structural	"3,000"	"40,000"			サプライが必要　資源生産(30クリスタル/sec)	Dark Matter弾　Minor Electric弾　磨耗　鹵獲　格納　丸呑み　フォースフィールド		lol
Crystal Harvester Mark III	Crystal Harvester	Crystal Harvester	3		Economic Ships			"1,600"	0	00:37	0						Structural	"3,000"	"40,000"			サプライが必要　資源生産(55クリスタル/sec)	Dark Matter弾　Minor Electric弾　磨耗　鹵獲　格納　丸呑み　フォースフィールド		lol
Science Lab	Science Lab	Science Lab	1		Economic Ships		52	"8,000"	800	01:01	"2,000"						Ultra-Light	500	"40,000"	100		サプライが必要　研究(2/sec)	Dark Matter弾　Minor Electric弾　鹵獲　麻痺攻撃　丸呑み　フォースフィールド	敵惑星では動作しない	lol
Science Lab Mark II	Science Lab	Science Lab	2		Economic Ships		60	"24,000"	"2,400"	02:00	"5,000"						Ultra-Light	"5,000"	"500,000"	100		クローク機能　サプライが必要　研究(3/sec)	Dark Matter弾　狙撃　Minor Electric弾　トラクタービーム　鹵獲　麻痺攻撃　丸呑み　フォースフィールド　即死　機雷	敵惑星では動作しない	lol
Hacker	Hacker	Hacker	5		Economic Ships		100	"90,000"	"9,000"	15:00	"5,000"						Heavy	"10,000"	"1,000,000"	100		クローク機能	Dark Matter弾　狙撃　Fusion Cutter攻撃　Minor Electric弾　トラクタービーム　鹵獲　麻痺攻撃　丸呑み　フォースフィールド　核攻撃　即死　EMP　機雷		lol
Covert Knowledge Extractor	Covert Knowledge Extractor	Covert Knowledge Extractor	4		Hacking			0	0	00:00	0						Heavy	"10,000"	"1,000,000"			クローク機能　エネルギー不足無視　研究(6/sec)	Dark Matter弾　狙撃　Fusion Cutter攻撃　Minor Electric弾　トラクタービーム　鹵獲　麻痺攻撃　丸呑み　フォースフィールド　即死　EMP　機雷	敵惑星でのみ動作	lol
Research Redirector	Research Redirector	Research Redirector	4		Hacking			0	0	00:00	0						Heavy	"10,000"	"1,000,000"			クローク機能　エネルギー不足無視	Dark Matter弾　狙撃　Fusion Cutter攻撃　Minor Electric弾　トラクタービーム　鹵獲　麻痺攻撃　丸呑み　フォースフィールド　即死　EMP　機雷	敵惑星でのみ動作	lol
Fabricator Hacker	Fabricator Hacker	Fabricator Hacker	4		Hacking			0	0	00:00	0						Heavy	"10,000"	"1,000,000"			クローク機能　エネルギー不足無視	Dark Matter弾　狙撃　Fusion Cutter攻撃　Minor Electric弾　トラクタービーム　鹵獲　麻痺攻撃　丸呑み　フォースフィールド　即死　EMP　機雷	敵惑星でのみ動作	lol
Advanced Constructor Hacker	Advanced Constructor Hacker	Advanced Constructor Hacker	4		Hacking			0	0	00:00	0						Heavy	"10,000"	"1,000,000"			クローク機能　エネルギー不足無視	Dark Matter弾　狙撃　Fusion Cutter攻撃　Minor Electric弾　トラクタービーム　鹵獲　麻痺攻撃　丸呑み　フォースフィールド　即死　EMP　機雷	敵惑星でのみ動作	lol
Design Corruptor	Design Corruptor	Design Corruptor	4		Hacking			0	0	00:00	0						Heavy	"10,000"	"1,000,000"			クローク機能　エネルギー不足無視	Dark Matter弾　狙撃　Fusion Cutter攻撃　Minor Electric弾　トラクタービーム　鹵獲　麻痺攻撃　丸呑み　フォースフィールド　即死　EMP　機雷	敵惑星でのみ動作	lol
Desigh Downloader	Desigh Downloader	Desigh Downloader	4		Hacking			0	0	00:00	0						Heavy	"10,000"	"1,000,000"			クローク機能　エネルギー不足無視	Dark Matter弾　狙撃　Fusion Cutter攻撃　Minor Electric弾　トラクタービーム　鹵獲　麻痺攻撃　丸呑み　フォースフィールド　即死　EMP　機雷	敵惑星でのみ動作	lol
Sabotage Hacker	Sabotage Hacker	Sabotage Hacker	4		Hacking			0	0	00:00	0						Heavy	"10,000"	"1,000,000"			クローク機能　エネルギー不足無視	Dark Matter弾　狙撃　Fusion Cutter攻撃　Minor Electric弾　トラクタービーム　鹵獲　麻痺攻撃　丸呑み　フォースフィールド　即死　EMP　機雷	敵惑星でのみ動作	lol
Sensor Hacker	Sensor Hacker	Sensor Hacker	4		Hacking			0	0	00:00	0						Heavy	"10,000"	"1,000,000"			クローク機能　エネルギー不足無視	Dark Matter弾　狙撃　Fusion Cutter攻撃　Minor Electric弾　トラクタービーム　鹵獲　麻痺攻撃　丸呑み　フォースフィールド　即死　EMP　機雷	敵惑星でのみ動作	lol
Survey Ship	Survey Ship	Survey Ship	1		Economic Ships	5	40	"50,000"	"50,000"	05:01	"10,000"						Ultra-Light	200	"500,000"				ブラックホール効果　トラクタービーム　鹵獲　麻痺攻撃　丸呑み　フォースフィールド　核攻撃　即死		lol
Energy Collector	Energy Collector	Energy Collector	1		Economic Ships			"10,000"	"30,000"	05:31	0						Neutron	"4,000"	"140,000"			"サプライが必要　資源生産(エネルギー150,000)"	Minor Electric弾　磨耗　鹵獲　麻痺攻撃　格納　丸呑み　フォースフィールド	惑星別生産上限(1)	lol
Matter Converter	Matter Converter	Matter Converter	1		Economic Ships			"5,000"	"15,000"	02:46	0						Neutron	"4,000"	"140,000"			"サプライが必要　資源生産(エネルギー5,000)　資源消費(-100メタル/sec、-100クリスタル/sec)"	Minor Electric弾　磨耗　鹵獲　麻痺攻撃　格納　丸呑み　フォースフィールド	Stand-Downへの切り替え不可	lol
Cleanup Drone	Cleanup Drone	Cleanup Drone	1		Economic Ships	58	220	250	500	00:15	0						Neutron	0	"300,000"			クローク機能　自己修復(10:00)　敵の探知不可	Dark Matter弾　Minor Electric弾　範囲攻撃　ビーム兵器　トラクタービーム　鹵獲　フォースフィールド　即死　機雷		lol
Remains Rebuilder	Remains Rebuilder	Remains Rebuilder	1		Economic Ships	58	220	"1,000"	"2,000"	00:15	0						Neutron	0	"188,000"			クローク機能　自己修復(10:00)　敵の探知不可	Dark Matter弾　Minor Electric弾　磨耗　鹵獲　フォースフィールド　即死　機雷		lol
Colony Ship	Colony Ship	Colony Ship	1		Constructor Ships	5	164	500	"1,500"	00:31	0						Scout	"5,000"	"38,000"	100		建設開始時に消滅	Dark Matter弾　狙撃　Minor Electric弾　速度強化　トラクタービーム　鹵獲　即死　機雷		lol
Economic Orbital Command Station	Economic Orbital Command Station	Economic Orbital Command Station	1		Command Stations			"4,000"	"4,000"	01:00	0						Command-Grade	"1,500"	"99,999"			"ワープ探知　味方艦の移動速度増加(+100%)　偵察情報収集　資源生産(32メタル/sec、32クリスタル/sec、2,000エネルギー)"	トラクタービーム　鹵獲　麻痺攻撃　格納　丸呑み　即死		lol
Economic Orbital Command Station Mark II	Economic Orbital Command Station	Economic Orbital Command Station	2		Command Stations	6		"6,000"	"6,000"	02:00	0						Command-Grade	"1,500"	"299,999"			"ワープ探知　味方艦の移動速度増加(+100%)　偵察情報収集　資源生産(80メタル/sec、80クリスタル/sec、4,000エネルギー)"	トラクタービーム　鹵獲　麻痺攻撃　格納　丸呑み　即死		lol
Economic Orbital Command Station Mark III	Economic Orbital Command Station	Economic Orbital Command Station	3		Command Stations	6		"8,000"	"8,000"	03:01	0						Command-Grade	"1,500"	"599,999"			"ワープ探知　味方艦の移動速度増加(+100%)　偵察情報収集　資源生産(160メタル/sec、160クリスタル/sec、6,000エネルギー)"	狙撃　トラクタービーム　鹵獲　麻痺攻撃　格納　丸呑み　即死		lol
Military Orbital Command Station	Military Orbital Command Station	Military Orbital Command Station	1		Command Stations			"4,000"	"4,000"	01:00	0						Command-Grade	"1,500"	"1,000,000"			"ワープ探知　味方艦の移動速度増加(+100%)　タキオンビーム照射(射程10,000)　味方艦の攻撃力増加(+19%)　偵察情報収集　資源生産(24メタル/sec、24クリスタル/sec)"	Antimatter弾　Blade攻撃　Fusion Cutter攻撃　攻撃強化　レーダー妨害　トラクタービーム　鹵獲　麻痺攻撃　格納　丸呑み　即死　EMP		lol
Military Orbital Command Station Mark II	Military Orbital Command Station	Military Orbital Command Station	2		Command Stations	6		"6,000"	"6,000"	02:00	0						Command-Grade	"1,500"	"4,000,000"			"ワープ探知　エンジンダメージ(200)　味方艦の移動速度増加(+100%)　タキオンビーム照射(射程20,000)　味方艦の攻撃力増加(+50%)　偵察情報収集　資源生産(48メタル/sec、48クリスタル/sec)"	Antimatter弾　Blade攻撃　Fusion Cutter攻撃　攻撃強化　レーダー妨害　トラクタービーム　鹵獲　麻痺攻撃　格納　丸呑み　即死　EMP		lol
Military Orbital Command Station Mark III	Military Orbital Command Station	Military Orbital Command Station	3		Command Stations	6		"8,000"	"8,000"	03:01	0						Command-Grade	"1,500"	"9,000,000"			ワープ探知　エンジンダメージ(200)　味方艦の移動速度増加(+100%)　タキオンビーム照射(惑星全域)　味方艦の攻撃力増加(+100%)　偵察情報収集　資源生産(96メタル/sec、96クリスタル/sec)　麻痺攻撃(5秒)	Antimatter弾　狙撃　Blade攻撃　Fusion Cutter攻撃　攻撃強化　レーダー妨害　トラクタービーム　鹵獲　麻痺攻撃　格納　丸呑み　即死　EMP		lol
Logistical Orbital Command Station	Logistical Orbital Command Station	Logistical Orbital Command Station	1		Command Stations			"4,000"	"4,000"	01:00	0						Command-Grade	"1,500"	"149,998"			先進ワープ探知　敵艦の移動速度低下(-18.75%)　味方艦の移動速度増加(+200%)　偵察情報収集　資源生産(24メタル/sec、24クリスタル/sec)	トラクタービーム　鹵獲　麻痺攻撃　格納　丸呑み　即死		lol
Logistical Orbital Command Station Mark II	Logistical Orbital Command Station	Logistical Orbital Command Station	2		Command Stations	6		"6,000"	"6,000"	02:00	0						Command-Grade	"1,500"	"449,998"			先進ワープ探知　敵艦の移動速度低下(-37.5%)　味方艦の移動速度増加(+200%)　偵察情報収集　資源生産(48メタル/sec、48クリスタル/sec)	トラクタービーム　鹵獲　麻痺攻撃　格納　丸呑み　即死		lol
Logistical Orbital Command Station Mark III	Logistical Orbital Command Station	Logistical Orbital Command Station	3		Command Stations	6		"8,000"	"8,000"	03:01	0						Command-Grade	"1,500"	"899,998"			先進ワープ探知　敵艦の移動速度低下(-50%)　味方艦の移動速度増加(+200%)　敵艦のテレポート機能を無効化　偵察情報収集　資源生産(96メタル/sec、96クリスタル/sec)	狙撃　トラクタービーム　鹵獲　麻痺攻撃　格納　丸呑み　即死		lol
Orbital Command Station - Warp Jammer	Orbital Command Station - Warp Jammer	Orbital Command Station - Warp Jammer	1		Command Stations	5		"8,000"	"8,000"	02:01	0						Command-Grade	"1,500"	"99,999"			ワープ探知　味方艦の移動速度増加(+100%)　敵攻撃部隊のワープを禁止　偵察情報収集　資源消費(-40メタル/sec、-40クリスタル/sec)	Antimatter弾　磨耗　鹵獲　麻痺攻撃　格納　丸呑み　核攻撃　即死　EMP		lol
Space Dock	Space Dock	Space Dock	1		Constructor Ships	20		"1,000"	500	00:31	"1,000"						Structural	"1,000"	"300,000"			サプライが必要　Space DocksタイプのWarp Gateに対応	Minor Electric弾　鹵獲　麻痺攻撃　格納　丸呑み		lol
Mercenary Space Dock	Mercenary Space Dock	Mercenary Space Dock	1		Constructor Ships	2		"10,000"	"5,000"	00:30	"1,000"						Structural	"1,000"	"300,000"			サプライが必要　MercenariesタイプのWarp Gateに対応	Minor Electric弾　鹵獲　麻痺攻撃　格納　丸呑み		lol
Mercenary Fighter	Mercenary Fighter	Mercenary Fighter	4		Mercenary Ships	288	84	"12,000"	"12,000"	00:25	100	Shell	"16,200"	1	4	"3,200"	Light	"1,200"	"660,000"	200	Close-Combat(x6)　Medium(x6)　Polycrystal(x6)	"防御貫通(3,000)"			lol
Mercenary Bomber	Mercenary Bomber	Mercenary Bomber	4		Mercenary Ships	288	72	"86,000"	"12,000"	03:00	200	Energy Bomb	"39,000"	1	12	"4,600"	Polycrystal	"4,800"	"628,000"	200	Artillery(x6)　Command-Grade(x6)　Heavy(x6)　Structural(x6)　Ultra-Heavy(x6)				lol
Mercenary Missile Frigate	Mercenary Missile Frigate	Mercenary Missile Frigate	4		Mercenary Ships	288	44	"12,000"	"60,000"	02:05	400	Missile	"39,200"	1	10	"11,500"	Artillery	"1,200"	"628,000"	100	Composite(x6)　Light(x6)　Neutron(x6)　Refravtive(x6)　Swarmer(x6)　Ultra-Light(x6)		範囲攻撃		lol
Mercenary EtherJet Tractor	Mercenary EtherJet Tractor	Mercenary EtherJet Tractor	4		Mercenary Ships	432	120	"3,600"	"7,400"	00:16	138	Missile	"13,200"	1	3	"5,000"	Refractive	0	"276,000"	800	Heavy(x4)　Light(x4)　Polycrystal(x4)　Ultra-Heavy(x4)	"クローク機能　トラクタービーム(対象1、射程4,500)"	トラクタービーム　麻痺攻撃　機雷		lol
Mercenary Parasite	Mercenary Parasite	Mercenary Parasite	4		Mercenary Ships	144	68	"12,000"	"60,000"	02:05	800	Shell	"16,200"	1	8	"6,000"	Ultra-Light	"3,600"	"820,000"	100	Medium(x4)　Neutron(x4)	"敵艦を鹵獲　防御貫通(3,000)"	鹵獲		lol
Mercenary Zenith Beam Frigate	Mercenary Zenith Beam Frigate	Mercenary Zenith Beam Frigate	4		Mercenary Ships	144	56	"56,000"	"106,000"	03:41	200	Beam Weapon	"52,000"	1	7	"9,900"	Composite	"1,200"	"1,250,000"	100				直線状に最大9体の敵を貫通攻撃	lol
Mercenary Neinzul Enclave Starship	Mercenary Neinzul Enclave Starship	Mercenary Neinzul Enclave Starship	4		Mercenary Ships	1	48	"1,200,000"	"1,200,000"	41:40	"30,000"						Heavy	"4,000"	"40,000,000"			"レーダー妨害(範囲6,500)"	狙撃　Fusion Cutter攻撃　防御強化　トラクタービーム　鹵獲　麻痺攻撃　核攻撃　即死　EMP　機雷　クローク付加	7秒ごとに4種のドローンを展開	lol
Neinzul Needler Drone	Mercenary Neinzul Enclave Starship	Neinzul Needler Drone	1	Drone	Mercenary Ships	24	90	10	10	00:01	20	Shell	"3,000"	1	2	"3,500"	Swarmer	0	"80,000"		Artillery(x5)　Heavy(x5)　Structural(x5)　Ultra-Heavy(x5)	自動消耗(0:30)　ワームホール使用不可　防御貫通(450)	鹵獲　格納　丸呑み　機雷　修理		lol
Neinzul Needler Drone Mark II	Mercenary Neinzul Enclave Starship	Neinzul Needler Drone	2	Drone	Mercenary Ships	24	90	20	20	00:01	20	Shell	"6,000"	1	2	"3,500"	Swarmer	0	"160,000"		Artillery(x5)　Heavy(x5)　Structural(x5)　Ultra-Heavy(x5)	自動消耗(0:30)　ワームホール使用不可　防御貫通(900)	鹵獲　格納　丸呑み　機雷　修理		lol
Neinzul Needler Drone Mark III	Mercenary Neinzul Enclave Starship	Neinzul Needler Drone	3	Drone	Mercenary Ships	24	90	40	40	00:01	20	Shell	"9,000"	1	2	"3,500"	Swarmer	0	"240,000"		Artillery(x5)　Heavy(x5)　Structural(x5)　Ultra-Heavy(x5)	"自動消耗(0:30)　ワームホール使用不可　防御貫通(1,350)"	鹵獲　格納　丸呑み　機雷　修理		lol
Neinzul Needler Drone Mark IV	Mercenary Neinzul Enclave Starship	Neinzul Needler Drone	4	Drone	Mercenary Ships	24	90	60	60	00:01	20	Shell	"12,000"	1	2	"3,500"	Swarmer	0	"320,000"		Artillery(x5)　Heavy(x5)　Structural(x5)　Ultra-Heavy(x5)	"自動消耗(0:30)　ワームホール使用不可　防御貫通(1,800)"	鹵獲　格納　丸呑み　機雷　修理		lol
Neinzul Laser Drone	Mercenary Neinzul Enclave Starship	Neinzul Laser Drone	1	Drone	Mercenary Ships	24	90	10	10	00:01	20	Laser	"3,600"	1	3	"5,000"	Swarmer	0	"80,000"		Heavy(x5)　Polycrystal(x5)　Refractive(x5)　Ultra-Heavy(x5)	自動消耗(0:30)　ワームホール使用不可　防御貫通(750)	鹵獲　格納　丸呑み　機雷　修理		lol
Neinzul Laser Drone Mark II	Mercenary Neinzul Enclave Starship	Neinzul Laser Drone	2	Drone	Mercenary Ships	24	90	20	20	00:01	20	Laser	"7,200"	1	3	"5,000"	Swarmer	0	"160,000"		Heavy(x5)　Polycrystal(x5)　Refractive(x5)　Ultra-Heavy(x5)	"自動消耗(0:30)　ワームホール使用不可　防御貫通(1,500)"	鹵獲　格納　丸呑み　機雷　修理		lol
Neinzul Laser Drone Mark III	Mercenary Neinzul Enclave Starship	Neinzul Laser Drone	3	Drone	Mercenary Ships	24	90	40	40	00:01	20	Laser	"10,800"	1	3	"5,000"	Swarmer	0	"240,000"		Heavy(x5)　Polycrystal(x5)　Refractive(x5)　Ultra-Heavy(x5)	"自動消耗(0:30)　ワームホール使用不可　防御貫通(2,250)"	鹵獲　格納　丸呑み　機雷　修理		lol
Neinzul Laser Drone Mark IV	Mercenary Neinzul Enclave Starship	Neinzul Laser Drone	4	Drone	Mercenary Ships	24	90	60	60	00:01	20	Laser	"14,400"	1	3	"5,000"	Swarmer	0	"320,000"		Heavy(x5)　Polycrystal(x5)　Refractive(x5)　Ultra-Heavy(x5)	自動消耗(0:30)　ワームホール使用不可　防御貫通(3.000)	鹵獲　格納　丸呑み　機雷　修理		lol
Neinzul MLRS Drone	Mercenary Neinzul Enclave Starship	Neinzul MLRS Drone	1	Drone	Mercenary Ships	24	90	10	10	00:01	20	Missile	"3,000"	3	5	"4,500"	Swarmer	0	"80,000"		Close-Combat(x5)　Light(x5)　Neutron(x5)　Swarmer(x5)　Ultra-Light(x5)	自動消耗(0:30)　ワームホール使用不可　防御貫通(150)	鹵獲　格納　丸呑み　機雷　修理		lol
Neinzul MLRS Drone Mark II	Mercenary Neinzul Enclave Starship	Neinzul MLRS Drone	2	Drone	Mercenary Ships	24	90	20	20	00:01	20	Missile	"6,000"	3	5	"4,500"	Swarmer	0	"160,000"		Close-Combat(x5)　Light(x5)　Neutron(x5)　Swarmer(x5)　Ultra-Light(x5)	自動消耗(0:30)　ワームホール使用不可　防御貫通(300)	鹵獲　格納　丸呑み　機雷　修理		lol
Neinzul MLRS Drone Mark III	Mercenary Neinzul Enclave Starship	Neinzul MLRS Drone	3	Drone	Mercenary Ships	24	90	40	40	00:01	20	Missile	"9,000"	3	5	"4,500"	Swarmer	0	"240,000"		Close-Combat(x5)　Light(x5)　Neutron(x5)　Swarmer(x5)　Ultra-Light(x5)	自動消耗(0:30)　ワームホール使用不可　防御貫通(450)	鹵獲　格納　丸呑み　機雷　修理		lol
Neinzul MLRS Drone Mark IV	Mercenary Neinzul Enclave Starship	Neinzul MLRS Drone	4	Drone	Mercenary Ships	24	90	60	60	00:01	20	Missile	"12,000"	3	5	"4,500"	Swarmer	0	"320,000"		Close-Combat(x5)　Light(x5)　Neutron(x5)　Swarmer(x5)　Ultra-Light(x5)	自動消耗(0:30)　ワームホール使用不可　防御貫通(600)	鹵獲　格納　丸呑み　機雷　修理		lol
Neinzul Missile Drone	Mercenary Neinzul Enclave Starship	Neinzul Missile Drone	1	Drone	Mercenary Ships	24	90	10	10	00:01	20	Missile	"6,000"	1	5	"10,000"	Swarmer	0	"80,000"		Composite(x5)　Medium(x5)　Neutron(x5)　Polycrystal(x5)　Ultra-Light(x5)	自動消耗(0:30)　ワームホール使用不可	鹵獲　格納　丸呑み　機雷　修理		lol
Neinzul Missile Drone Mark II	Mercenary Neinzul Enclave Starship	Neinzul Missile Drone	2	Drone	Mercenary Ships	24	90	20	20	00:01	20	Missile	"12,000"	1	5	"10,000"	Swarmer	0	"160,000"		Composite(x5)　Medium(x5)　Neutron(x5)　Polycrystal(x5)　Ultra-Light(x5)	自動消耗(0:30)　ワームホール使用不可	鹵獲　格納　丸呑み　機雷　修理		lol
Neinzul Missile Drone Mark III	Mercenary Neinzul Enclave Starship	Neinzul Missile Drone	3	Drone	Mercenary Ships	24	90	40	40	00:01	20	Missile	"18,000"	1	5	"10,000"	Swarmer	0	"240,000"		Composite(x5)　Medium(x5)　Neutron(x5)　Polycrystal(x5)　Ultra-Light(x5)	自動消耗(0:30)　ワームホール使用不可	鹵獲　格納　丸呑み　機雷　修理		lol
Neinzul Missile Drone Mark IV	Mercenary Neinzul Enclave Starship	Neinzul Missile Drone	4	Drone	Mercenary Ships	24	90	60	60	00:01	20	Missile	"24,000"	1	5	"10,000"	Swarmer	0	"320,000"		Composite(x5)　Medium(x5)　Neutron(x5)　Polycrystal(x5)　Ultra-Light(x5)	自動消耗(0:30)　ワームホール使用不可	鹵獲　格納　丸呑み　機雷　修理		lol
